Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
5000.00,2013-01-02,other,704,39.09%,961xx,CA,< 1 year,0
10000.00,2013-01-02,wedding,712,7.17%,331xx,FL,< 1 year,0
13000.00,2013-01-02,debt_consolidation,622,33.63%,921xx,CA,< 1 year,0
15000.00,2013-01-02,credit_card,666,38.21%,802xx,CO,< 1 year,0
15300.00,2013-01-02,debt_consolidation,659,7.53%,787xx,TX,< 1 year,0
6000.00,2013-01-02,home_improvement,642,26.9%,925xx,CA,< 1 year,0
28500.00,2013-01-02,debt_consolidation,607,13.49%,926xx,CA,< 1 year,0
15000.00,2013-01-02,debt_consolidation,449,0.4%,760xx,TX,< 1 year,0
35000.00,2013-01-02,debt_consolidation,661,55.62%,082xx,NJ,< 1 year,0
8500.00,2013-01-02,car,533,19.92%,654xx,MO,< 1 year,0
6000.00,2013-01-02,debt_consolidation,633,20.02%,919xx,CA,< 1 year,0
25000.00,2013-01-02,small_business,664,25.71%,890xx,NV,< 1 year,0
12000.00,2013-01-02,debt_consolidation,599,34.04%,117xx,NY,< 1 year,0
1500.00,2013-01-02,other,631,18.55%,791xx,TX,< 1 year,0
34000.00,2013-01-02,credit_card,672,47.63%,082xx,NJ,< 1 year,0
30000.00,2013-01-02,other,0,0%,928xx,CA,< 1 year,0
15000.00,2013-01-02,other,505,12.83%,103xx,NY,< 1 year,0
20000.00,2013-01-02,major_purchase,663,14.44%,483xx,MI,< 1 year,0
2500.00,2013-01-02,credit_card,771,0.83%,140xx,NY,< 1 year,0
15000.00,2013-01-02,Home Improvement,671,16.43%,329xx,FL,10+ years,0
25000.00,2013-01-02,Debt Consolidation,668,32.44%,327xx,FL,6 years,0
1000.00,2013-01-02,wedding,555,3%,282xx,NC,< 1 year,0
35000.00,2013-01-02,debt_consolidation,,-1%,920xx,CA,< 1 year,0
5000.00,2013-01-02,debt_consolidation,658,24.72%,130xx,NY,< 1 year,0
14000.00,2013-01-02,Debt Consolidation,683,16.44%,321xx,FL,3 years,0
35000.00,2013-01-02,credit_card,714,3%,331xx,FL,< 1 year,0
1500.00,2013-01-02,debt_consolidation,478,4.15%,928xx,CA,< 1 year,0
10000.00,2013-01-02,home_improvement,675,28.19%,330xx,FL,< 1 year,0
10000.00,2013-01-02,other,704,12%,145xx,NY,2 years,0
1000.00,2013-01-02,debt_consolidation,679,13.72%,606xx,IL,< 1 year,0
10000.00,2013-01-02,Credit card refinancing,705,34.51%,029xx,RI,10+ years,0
1500.00,2013-01-02,medical,612,6.76%,076xx,NJ,< 1 year,0
10000.00,2013-01-02,credit_card,656,17.26%,342xx,FL,< 1 year,0
35000.00,2013-01-02,debt_consolidation,705,17.25%,331xx,FL,< 1 year,0
2000.00,2013-01-02,major_purchase,630,2.9%,550xx,MN,1 year,0
35000.00,2013-01-02,credit_card,733,75.6%,760xx,TX,< 1 year,0
25000.00,2013-01-02,debt_consolidation,623,29.67%,278xx,NC,< 1 year,0
10000.00,2013-01-02,credit_card,754,39.97%,488xx,MI,< 1 year,0
7000.00,2013-01-02,moving,638,19.11%,199xx,DE,< 1 year,0
35000.00,2013-01-02,debt_consolidation,702,12.52%,189xx,PA,< 1 year,0
5000.00,2013-01-02,debt_consolidation,603,9.17%,170xx,PA,< 1 year,0
15000.00,2013-01-02,debt_consolidation,617,37.07%,141xx,NY,< 1 year,0
14000.00,2013-01-02,car,565,6.36%,759xx,TX,< 1 year,0
5000.00,2013-01-02,debt_consolidation,633,3.68%,185xx,PA,< 1 year,0
35000.00,2013-01-02,credit_card,717,119.2%,622xx,IL,< 1 year,0
35000.00,2013-01-02,debt_consolidation,670,46.82%,346xx,FL,< 1 year,0
35000.00,2013-01-02,credit_card,671,46.68%,985xx,WA,< 1 year,0
35000.00,2013-01-02,debt_consolidation,690,20.09%,805xx,CO,< 1 year,0
35000.00,2013-01-02,house,661,38.11%,919xx,CA,< 1 year,0
2500.00,2013-01-02,other,484,14.37%,364xx,AL,< 1 year,0
5000.00,2013-01-02,debt_consolidation,644,29.78%,926xx,CA,< 1 year,0
5000.00,2013-01-02,debt_consolidation,590,5.56%,125xx,NY,< 1 year,0
5000.00,2013-01-02,other,481,17.52%,329xx,FL,< 1 year,0
25000.00,2013-01-02,home_improvement,656,14.23%,334xx,FL,< 1 year,0
5000.00,2013-01-02,moving,489,16.87%,802xx,CO,< 1 year,0
25000.00,2013-01-02,home_improvement,789,1.6%,707xx,LA,< 1 year,0
5000.00,2013-01-02,other,0,0%,286xx,NC,< 1 year,0
13000.00,2013-01-02,credit_card,657,20.37%,467xx,IN,< 1 year,0
35000.00,2013-01-02,debt_consolidation,666,38.53%,303xx,GA,< 1 year,0
30000.00,2013-01-02,debt_consolidation,668,47.27%,120xx,NY,< 1 year,0
8000.00,2013-01-02,Business,662,4.34%,941xx,CA,10+ years,0
9000.00,2013-01-02,debt_consolidation,672,27.63%,342xx,FL,< 1 year,0
10500.00,2013-01-02,major_purchase,743,0%,019xx,MA,< 1 year,0
1000.00,2013-01-02,other,0,0%,752xx,TX,< 1 year,0
30000.00,2013-01-02,credit_card,645,13.46%,117xx,NY,< 1 year,0
1000.00,2013-01-02,other,503,1.37%,124xx,NY,< 1 year,0
1000.00,2013-01-02,other,620,7.37%,300xx,GA,< 1 year,0
5900.00,2013-01-02,other,706,10.65%,027xx,MA,< 1 year,0
6000.00,2013-01-02,debt_consolidation,600,32.57%,334xx,FL,< 1 year,0
21000.00,2013-01-02,credit_card,713,50.59%,638xx,MO,< 1 year,0
15000.00,2013-01-02,debt_consolidation,646,3.28%,930xx,CA,< 1 year,0
35000.00,2013-01-02,debt_consolidation,678,34.07%,927xx,CA,< 1 year,0
10000.00,2013-01-02,house,531,12.86%,209xx,MD,< 1 year,0
10000.00,2013-01-02,debt_consolidation,,4.95%,882xx,NM,< 1 year,0
3000.00,2013-01-02,other,607,19.33%,347xx,FL,2 years,0
10000.00,2013-01-02,credit_card,693,48.09%,441xx,OH,< 1 year,0
35000.00,2013-01-02,debt_consolidation,667,22.95%,300xx,GA,< 1 year,0
7500.00,2013-01-02,credit_card,643,12.86%,927xx,CA,< 1 year,0
6000.00,2013-01-02,vacation,843,19.9%,447xx,OH,< 1 year,0
17000.00,2013-01-02,credit_card,653,23.92%,160xx,PA,< 1 year,0
2500.00,2013-01-02,moving,662,2.35%,890xx,NV,< 1 year,0
5000.00,2013-01-02,other,586,16.53%,628xx,IL,< 1 year,0
23000.00,2013-01-02,debt_consolidation,646,29.03%,080xx,NJ,< 1 year,0
19000.00,2013-01-02,wedding,651,9.87%,480xx,MI,< 1 year,0
5000.00,2013-01-02,debt_consolidation,644,14.41%,327xx,FL,< 1 year,0
2100.00,2013-01-02,other,609,285.6%,300xx,GA,< 1 year,0
18000.00,2013-01-02,credit_card,656,13.92%,672xx,KS,< 1 year,0
2175.00,2013-01-02,major_purchase,673,54.9%,810xx,CO,< 1 year,0
35000.00,2013-01-02,credit_card,665,70.36%,634xx,MO,< 1 year,0
1000.00,2013-01-02,car,0,0%,320xx,FL,< 1 year,0
5000.00,2013-01-02,other,691,9.13%,731xx,OK,< 1 year,0
20000.00,2013-01-02,debt_consolidation,659,19.71%,355xx,AL,< 1 year,0
6000.00,2013-01-02,Vacation,843,1.99%,447xx,OH,6 years,0
7500.00,2013-01-02,credit_card,678,54.65%,480xx,MI,< 1 year,0
35000.00,2013-01-02,car,685,19.95%,455xx,OH,< 1 year,0
8500.00,2013-01-02,debt_consolidation,692,44.4%,480xx,MI,< 1 year,0
10000.00,2013-01-02,other,723,11.69%,936xx,CA,1 year,0
12000.00,2013-01-02,vacation,724,11.93%,925xx,CA,3 years,0
1000.00,2013-01-02,other,545,22.17%,232xx,VA,< 1 year,0
10000.00,2013-01-02,Major purchase,702,19.18%,481xx,MI,3 years,0
26000.00,2013-01-02,credit_card,707,36.73%,958xx,CA,< 1 year,0
7000.00,2013-01-02,debt_consolidation,672,41.79%,490xx,MI,< 1 year,0
7000.00,2013-01-02,medical,633,32.68%,600xx,IL,< 1 year,0
19000.00,2013-01-02,credit_card,638,8.2%,921xx,CA,< 1 year,0
15000.00,2013-01-02,debt_consolidation,632,24.1%,924xx,CA,< 1 year,0
6000.00,2013-01-02,car,826,31.76%,174xx,PA,< 1 year,0
1500.00,2013-01-02,other,524,57.09%,751xx,TX,< 1 year,0
20000.00,2013-01-02,credit_card,703,6.54%,945xx,CA,< 1 year,0
11850.00,2013-01-02,debt_consolidation,720,69.81%,936xx,CA,< 1 year,0
16000.00,2013-01-02,credit_card,632,3.96%,606xx,IL,< 1 year,0
35000.00,2013-01-02,small_business,0,0%,325xx,FL,< 1 year,0
3000.00,2013-01-02,moving,544,0%,285xx,NC,< 1 year,0
10000.00,2013-01-02,debt_consolidation,640,12.83%,100xx,NY,< 1 year,0
15000.00,2013-01-02,Credit card loan,691,23.22%,494xx,MI,10+ years,0
2700.00,2013-01-02,debt_consolidation,666,15.2%,448xx,OH,< 1 year,0
35000.00,2013-01-02,Business,744,11.93%,926xx,CA,< 1 year,0
3000.00,2013-01-02,debt_consolidation,636,13.78%,190xx,PA,< 1 year,0
20000.00,2013-01-02,debt_consolidation,669,278.67%,530xx,WI,< 1 year,0
35000.00,2013-01-02,debt_consolidation,,-1%,076xx,NJ,< 1 year,0
1000.00,2013-01-02,other,0,0%,782xx,TX,< 1 year,0
1000.00,2013-01-02,credit_card,666,57.1%,191xx,PA,< 1 year,0
20000.00,2013-01-02,major_purchase,711,27.12%,811xx,CO,< 1 year,0
12000.00,2013-01-02,credit_card,652,17.09%,307xx,GA,< 1 year,0
35000.00,2013-01-02,small_business,601,0.82%,917xx,CA,< 1 year,0
5000.00,2013-01-02,moving,685,4.89%,760xx,TX,< 1 year,0
8000.00,2013-01-02,debt_consolidation,675,20.02%,770xx,TX,< 1 year,0
30000.00,2013-01-02,house,,-1%,646xx,MO,< 1 year,0
2000.00,2013-01-02,other,474,8.16%,027xx,MA,< 1 year,0
25000.00,2013-01-02,debt_consolidation,658,11.36%,902xx,CA,< 1 year,0
20000.00,2013-01-02,debt_consolidation,672,38.12%,438xx,OH,< 1 year,0
5000.00,2013-01-02,My Special Truck Loan ,700,12.34%,967xx,HI,10+ years,0
3600.00,2013-01-02,debt_consolidation,629,17.8%,923xx,CA,< 1 year,0
2000.00,2013-01-02,home_improvement,620,8.76%,191xx,PA,< 1 year,0
30000.00,2013-01-02,Debt,695,24.42%,346xx,FL,10+ years,0
10000.00,2013-01-02,debt_consolidation,629,9.5%,925xx,CA,< 1 year,0
3500.00,2013-01-02,Credit Card Loan,662,25.6%,302xx,GA,n/a,0
11000.00,2013-01-02,debt_consolidation,650,2.82%,440xx,OH,< 1 year,0
6000.00,2013-01-02,car,655,0%,945xx,CA,< 1 year,0
35000.00,2013-01-02,small_business,655,27.4%,720xx,AR,< 1 year,0
15000.00,2013-01-02,small_business,588,1.08%,118xx,NY,< 1 year,0
6000.00,2013-01-02,debt_consolidation,478,16.71%,935xx,CA,< 1 year,0
1000.00,2013-01-02,debt_consolidation,598,4.69%,358xx,AL,< 1 year,0
5000.00,2013-01-02,debt_consolidation,706,43.85%,398xx,GA,< 1 year,0
35000.00,2013-01-02,home_improvement,635,7.37%,331xx,FL,< 1 year,0
15000.00,2013-01-02,debt_consolidation,604,3%,118xx,NY,< 1 year,0
12000.00,2013-01-02,home_improvement,703,4.34%,191xx,PA,< 1 year,0
6000.00,2013-01-02,debt_consolidation,613,17.49%,180xx,PA,< 1 year,0
10000.00,2013-01-02,major_purchase,619,10.35%,066xx,CT,< 1 year,0
15000.00,2013-01-02,other,665,43.81%,496xx,MI,< 1 year,0
35000.00,2013-01-02,cred card refinance,660,15.14%,365xx,AL,8 years,0
20000.00,2013-01-02,debt_consolidation,615,2.88%,201xx,VA,< 1 year,0
35000.00,2013-01-02,debt_consolidation,595,30.33%,088xx,NJ,< 1 year,0
3500.00,2013-01-02,debt_consolidation,605,22.8%,462xx,IN,< 1 year,0
10500.00,2013-01-02,debt_consolidation,569,25.7%,100xx,NY,< 1 year,0
6200.00,2013-01-02,major_purchase,474,17.14%,953xx,CA,< 1 year,0
30000.00,2013-01-02,debt_consolidation,718,25.34%,926xx,CA,< 1 year,0
7500.00,2013-01-02,debt_consolidation,578,26.04%,207xx,MD,< 1 year,0
2175.00,2013-01-02,major_purchase,711,71.89%,708xx,LA,< 1 year,0
30000.00,2013-01-02,car,593,9.98%,113xx,NY,< 1 year,0
20000.00,2013-01-02,major_purchase,645,5.91%,299xx,SC,< 1 year,0
7500.00,2013-01-02,moving,591,6.76%,140xx,NY,< 1 year,0
8000.00,2013-01-02,credit_card,691,18.25%,152xx,PA,< 1 year,0
2500.00,2013-01-02,debt_consolidation,561,1.96%,232xx,VA,< 1 year,0
20000.00,2013-01-02,debt_consolidation,671,10.73%,121xx,NY,< 1 year,0
3500.00,2013-01-02,major_purchase,579,14.37%,606xx,IL,< 1 year,0
8000.00,2013-01-02,debt_consolidation,560,0.43%,231xx,VA,< 1 year,0
4000.00,2013-01-02,house,0,0%,293xx,SC,< 1 year,0
5000.00,2013-01-02,debt_consolidation,454,20.48%,234xx,VA,< 1 year,0
12150.00,2013-01-02,home_improvement,700,36.67%,956xx,CA,< 1 year,0
35000.00,2013-01-02,small_business,0,0%,283xx,NC,< 1 year,0
3000.00,2013-01-02,home_improvement,618,33.09%,770xx,TX,< 1 year,0
30000.00,2013-01-02,debt_consolidation,643,8.3%,201xx,VA,< 1 year,0
35000.00,2013-01-02,small_business,661,11.28%,300xx,GA,< 1 year,0
10000.00,2013-01-02,small_business,620,23.68%,451xx,OH,< 1 year,0
20000.00,2013-01-02,credit_card,617,24.59%,946xx,CA,< 1 year,0
30000.00,2013-01-02,business loan,686,8.19%,920xx,CA,10+ years,0
6000.00,2013-01-02,other,549,15.17%,975xx,OR,< 1 year,0
15000.00,2013-01-02,debt_consolidation,597,17.46%,339xx,FL,< 1 year,0
3000.00,2013-01-02,other,0,0%,276xx,NC,< 1 year,0
12150.00,2013-01-02,home_improvement,701,30.95%,956xx,CA,< 1 year,0
10000.00,2013-01-02,debt_consolidation,668,14.98%,030xx,NH,< 1 year,0
5000.00,2013-01-02,debt_consolidation,557,8.64%,926xx,CA,< 1 year,0
15000.00,2013-01-02,Credit card pay off,688,37.18%,330xx,FL,2 years,0
18000.00,2013-01-02,major_purchase,677,17.04%,060xx,CT,1 year,0
15000.00,2013-01-02,debt_consolidation,719,45.95%,017xx,MA,10+ years,0
5000.00,2013-01-02,Poland /Israel Trip,675,5.46%,750xx,TX,n/a,0
1000.00,2013-01-02,major_purchase,502,6.37%,880xx,NM,< 1 year,0
1500.00,2013-01-02,debt_consolidation,525,4.17%,271xx,NC,< 1 year,0
3000.00,2013-01-02,debt_consolidation,654,19.65%,212xx,MD,< 1 year,0
5000.00,2013-01-02,debt_consolidation,667,20.45%,191xx,PA,< 1 year,0
16000.00,2013-01-02,debt_consolidation,688,49.3%,339xx,FL,< 1 year,0
23000.00,2013-01-02,debt_consolidation,662,67.88%,856xx,AZ,< 1 year,0
22000.00,2013-01-02,debt_consolidation,685,46.34%,605xx,IL,< 1 year,0
2000.00,2013-01-02,Home improvement,805,0.01%,967xx,HI,n/a,0
8500.00,2013-01-02,debt_consolidation,641,15.2%,117xx,NY,< 1 year,0
35000.00,2013-01-02,credit_card,618,47.83%,731xx,OK,< 1 year,0
2500.00,2013-01-02,other,471,3.96%,112xx,NY,< 1 year,0
1000.00,2013-01-02,vacation,608,24.53%,283xx,NC,< 1 year,0
3500.00,2013-01-02,moving,599,30.8%,290xx,SC,< 1 year,0
5000.00,2013-01-02,debt_consolidation,0,0%,915xx,CA,< 1 year,0
35000.00,2013-01-02,small_business,625,37.56%,296xx,SC,< 1 year,0
3000.00,2013-01-02,other,568,1.96%,650xx,MO,< 1 year,0
20000.00,2013-01-02,Credit card refinancing,748,7.62%,752xx,TX,10+ years,0
10000.00,2013-01-02,debt_consolidation,588,34.12%,462xx,IN,< 1 year,0
1800.00,2013-01-02,WWU,691,20.91%,989xx,WA,2 years,0
25000.00,2013-01-02,other,807,907.34%,234xx,VA,< 1 year,0
25000.00,2013-01-02,wedding,568,3.73%,253xx,WV,< 1 year,0
20000.00,2013-01-02,Debt consolidation,705,18.79%,791xx,TX,10+ years,0
6400.00,2013-01-02,other,606,24.86%,933xx,CA,< 1 year,0
15000.00,2013-01-02,medical,606,20.32%,492xx,MI,< 1 year,0
5000.00,2013-01-02,car,730,21%,302xx,GA,< 1 year,0
20000.00,2013-01-02,debt_consolidation,643,80.17%,435xx,OH,< 1 year,0
7000.00,2013-01-02,other,718,0%,212xx,MD,< 1 year,0
3000.00,2013-01-02,renewable_energy,599,17.09%,441xx,OH,< 1 year,0
10000.00,2013-01-02,debt_consolidation,532,30.59%,440xx,OH,< 1 year,0
35000.00,2013-01-02,debt_consolidation,728,38.81%,563xx,MN,< 1 year,0
10000.00,2013-01-02,major_purchase,633,6.8%,561xx,MN,< 1 year,0
19000.00,2013-01-02,debt_consolidation,680,46.75%,283xx,NC,< 1 year,0
15000.00,2013-01-02,car,613,0.36%,208xx,MD,< 1 year,0
10000.00,2013-01-02,vacation,0,0%,140xx,NY,< 1 year,0
14000.00,2013-01-02,car,568,32.91%,902xx,CA,< 1 year,0
3000.00,2013-01-02,other,632,0.83%,112xx,NY,< 1 year,0
35000.00,2013-01-02,home_improvement,643,17.22%,074xx,NJ,< 1 year,0
10000.00,2013-01-02,other,590,7.04%,600xx,IL,< 1 year,0
2500.00,2013-01-02,small_business,599,7.42%,785xx,TX,< 1 year,0
15000.00,2013-01-02,debt_consolidation,0,13.37%,207xx,MD,< 1 year,0
4000.00,2013-01-02,moving,0,0%,207xx,MD,< 1 year,0
10000.00,2013-01-02,debt_consolidation,660,31.31%,762xx,TX,< 1 year,0
6500.00,2013-01-02,home_improvement,572,28.55%,275xx,NC,< 1 year,0
31525.00,2013-01-02,debt_consolidation,635,16.22%,460xx,IN,< 1 year,0
1000.00,2013-01-02,other,449,554.01%,331xx,FL,< 1 year,0
6000.00,2013-01-02,home_improvement,734,9.94%,114xx,NY,< 1 year,0
10000.00,2013-01-02,credit_card,678,37.24%,367xx,AL,< 1 year,0
8575.00,2013-01-02,credit_card,745,16.39%,727xx,AR,< 1 year,0
12000.00,2013-01-02,other,641,11.49%,809xx,CO,< 1 year,0
5000.00,2013-01-02,vacation,0,0%,338xx,FL,< 1 year,0
15000.00,2013-01-02,debt_consolidation,651,21.88%,967xx,HI,< 1 year,0
1000.00,2013-01-02,car,552,21.08%,750xx,TX,< 1 year,0
1000.00,2013-01-02,home_improvement,561,2.82%,326xx,FL,< 1 year,0
1500.00,2013-01-02,car,0,0%,532xx,WI,< 1 year,0
8000.00,2013-01-02,other,628,38.4%,775xx,TX,2 years,0
15000.00,2013-01-02,debt_consolidation,671,13.66%,891xx,NV,< 1 year,0
30000.00,2013-01-02,debt_consolidation,520,14.14%,750xx,TX,< 1 year,0
1000.00,2013-01-02,car,482,19.2%,703xx,LA,< 1 year,0
30000.00,2013-01-02,major_purchase,699,41.12%,182xx,PA,< 1 year,0
1500.00,2013-01-02,medical,529,0%,452xx,OH,< 1 year,0
11000.00,2013-01-02,debt_consolidation,629,27.17%,432xx,OH,< 1 year,0
35000.00,2013-01-02,debt_consolidation,677,23.43%,284xx,NC,< 1 year,0
10000.00,2013-01-02,debt_consolidation,616,5.03%,112xx,NY,< 1 year,0
1000.00,2013-01-02,medical,522,38.05%,334xx,FL,< 1 year,0
5000.00,2013-01-02,major_purchase,669,39.78%,020xx,MA,< 1 year,0
20000.00,2013-01-02,debt_consolidation,649,7.28%,088xx,NJ,< 1 year,0
4500.00,2013-01-02,wedding,669,39.78%,020xx,MA,< 1 year,0
13000.00,2013-01-02,debt_consolidation,596,19.48%,980xx,WA,< 1 year,0
1500.00,2013-01-02,credit_card,624,32.5%,900xx,CA,< 1 year,0
10000.00,2013-01-02,car,0,0%,430xx,OH,< 1 year,0
10000.00,2013-01-02,home_improvement,705,42.31%,415xx,KY,< 1 year,0
2500.00,2013-01-02,small_business,626,33.33%,765xx,TX,< 1 year,0
3500.00,2013-01-02,wedding,584,3.5%,064xx,CT,< 1 year,0
1500.00,2013-01-02,other,666,16.23%,767xx,TX,2 years,0
3000.00,2013-01-02,car,635,15%,700xx,LA,< 1 year,0
7500.00,2013-01-02,credit_card,708,41.15%,239xx,VA,< 1 year,0
6000.00,2013-01-02,debt_consolidation,656,15.23%,021xx,MA,< 1 year,0
35000.00,2013-01-02,house,673,16.56%,300xx,GA,< 1 year,0
20000.00,2013-01-02,small_business,574,18.69%,955xx,CA,< 1 year,0
5000.00,2013-01-02,small_business,0,0%,763xx,TX,< 1 year,0
8000.00,2013-01-02,debt_consolidation,565,62.88%,473xx,IN,< 1 year,0
15000.00,2013-01-02,small_business,644,20.88%,765xx,TX,< 1 year,0
10000.00,2013-01-02,debt_consolidation,639,36.87%,346xx,FL,< 1 year,0
10000.00,2013-01-02,debt_consolidation,657,16.12%,913xx,CA,< 1 year,0
3000.00,2013-01-02,home_improvement,607,39.36%,415xx,KY,< 1 year,0
10000.00,2013-01-02,other,656,5.7%,021xx,MA,< 1 year,0
5000.00,2013-01-02,debt_consolidation,624,20.02%,982xx,WA,< 1 year,0
10000.00,2013-01-02,other,583,12.72%,917xx,CA,< 1 year,0
12000.00,2013-01-02,debt_consolidation,578,0%,958xx,CA,< 1 year,0
10000.00,2013-01-02,other,655,29.14%,787xx,TX,< 1 year,0
35000.00,2013-01-02,debt_consolidation,649,10.8%,631xx,MO,< 1 year,0
20000.00,2013-01-02,debt_consolidation,655,19.28%,219xx,MD,< 1 year,0
30000.00,2013-01-02,debt_consolidation,632,13.93%,857xx,AZ,< 1 year,0
10000.00,2013-01-02,small_business,663,30%,809xx,CO,< 1 year,0
10000.00,2013-01-02,debt_consolidation,591,27.22%,337xx,FL,< 1 year,0
10000.00,2013-01-02,credit_card,694,9.62%,108xx,NY,< 1 year,0
35000.00,2013-01-02,debt_consolidation,663,34.17%,880xx,NM,< 1 year,0
10000.00,2013-01-02,Credit card payoff,674,33.6%,935xx,CA,9 years,0
20000.00,2013-01-02,home_improvement,558,1.56%,757xx,TX,< 1 year,0
2000.00,2013-01-02,debt_consolidation,658,16.08%,440xx,OH,< 1 year,0
1500.00,2013-01-02,home_improvement,709,1.25%,591xx,MT,10+ years,0
1500.00,2013-01-02,other,0,0%,482xx,MI,< 1 year,0
3000.00,2013-01-02,major_purchase,666,2%,338xx,FL,1 year,0
2000.00,2013-01-02,credit_card,654,16.79%,238xx,VA,< 1 year,0
10000.00,2013-01-02,major_purchase,529,0%,134xx,NY,< 1 year,0
10000.00,2013-01-02,credit_card,641,23.32%,814xx,CO,< 1 year,0
35000.00,2013-01-02,debt_consolidation,624,47.34%,933xx,CA,< 1 year,0
2000.00,2013-01-02,car,600,19.35%,404xx,KY,< 1 year,0
15000.00,2013-01-02,debt_consolidation,678,37.97%,958xx,CA,< 1 year,0
20000.00,2013-01-02,debt_consolidation,602,44.61%,290xx,SC,< 1 year,0
35000.00,2013-01-02,debt_consolidation,654,15.01%,706xx,LA,< 1 year,0
14000.00,2013-01-02,debt_consolidation,648,11.55%,960xx,CA,< 1 year,0
25000.00,2013-01-02,small_business,586,0%,908xx,CA,< 1 year,0
3000.00,2013-01-02,debt_consolidation,654,129.69%,759xx,TX,< 1 year,0
7000.00,2013-01-02,debt_consolidation,700,8.77%,462xx,IN,< 1 year,0
16900.00,2013-01-02,car,476,13.41%,339xx,FL,< 1 year,0
35000.00,2013-01-02,debt_consolidation,674,73.56%,968xx,HI,< 1 year,0
5000.00,2013-01-02,debt_consolidation,623,26.65%,430xx,OH,< 1 year,0
15000.00,2013-01-02,credit_card,655,49.08%,785xx,TX,< 1 year,0
15000.00,2013-01-02,small_business,444,1.43%,841xx,UT,< 1 year,0
25000.00,2013-01-02,debt_consolidation,624,18.59%,986xx,WA,< 1 year,0
35000.00,2013-01-02,Debt,666,28.92%,458xx,OH,1 year,0
30000.00,2013-01-02,debt_consolidation,696,45.07%,463xx,IN,9 years,0
10000.00,2013-01-02,pay off loans,707,29.93%,719xx,AR,< 1 year,0
35000.00,2013-01-02,debt_consolidation,668,26.03%,799xx,TX,< 1 year,0
10000.00,2013-01-02,other,650,34.5%,641xx,MO,< 1 year,0
5000.00,2013-01-02,other,532,23.82%,333xx,FL,< 1 year,0
20000.00,2013-01-02,debt_consolidation,638,63.09%,910xx,CA,< 1 year,0
35000.00,2013-01-02,credit_card,579,6.16%,478xx,TX,< 1 year,0
1000.00,2013-01-02,other,585,26.43%,972xx,OR,< 1 year,0
13000.00,2013-01-02,credit_card,632,28.08%,840xx,UT,< 1 year,0
8800.00,2013-01-02,debt_consolidation,704,36.19%,159xx,PA,< 1 year,0
10000.00,2013-01-02,credit_card,666,27.66%,460xx,IN,< 1 year,0
3000.00,2013-01-02,other,629,7.7%,394xx,MS,< 1 year,0
1000.00,2013-01-02,other,0,0%,322xx,FL,< 1 year,0
25000.00,2013-01-02,debt_consolidation,713,63.69%,342xx,FL,< 1 year,0
9000.00,2013-01-02,other,633,3.6%,086xx,NJ,< 1 year,0
6000.00,2013-01-02,wedding,648,28.85%,935xx,CA,< 1 year,0
35000.00,2013-01-02,Debit Consolidate,668,15.81%,737xx,OK,10+ years,0
5000.00,2013-01-02,small_business,636,9.27%,360xx,AL,< 1 year,0
10000.00,2013-01-02,Other,708,5.28%,926xx,CA,4 years,0
24000.00,2013-01-02,debt_consolidation,647,37.7%,750xx,TX,< 1 year,0
10000.00,2013-01-02,debt_consolidation,696,38.74%,402xx,KY,< 1 year,0
10000.00,2013-01-02,other,600,1.68%,450xx,OH,< 1 year,0
1500.00,2013-01-02,other,559,20.26%,227xx,VA,< 1 year,0
1000.00,2013-01-02,car,493,3.7%,754xx,TX,< 1 year,0
1000.00,2013-01-02,other,468,0%,323xx,FL,< 1 year,0
40000.00,2013-01-02,other,584,0.29%,751xx,TX,3 years,0
5000.00,2013-01-02,other,622,42.4%,409xx,KY,< 1 year,0
15000.00,2013-01-02,debt_consolidation,679,32.96%,086xx,NJ,< 1 year,0
15000.00,2013-01-02,debt_consolidation,619,32.57%,109xx,NY,< 1 year,0
12500.00,2013-01-02,other,558,36.65%,972xx,OR,< 1 year,0
35000.00,2013-01-02,debt_consolidation,655,19.68%,799xx,TX,< 1 year,0
14000.00,2013-01-02,debt_consolidation,748,1.55%,953xx,CA,< 1 year,0
30000.00,2013-01-02,car,655,25.27%,606xx,IL,< 1 year,0
32000.00,2013-01-02,debt_consolidation,648,67.09%,217xx,MD,< 1 year,0
30000.00,2013-01-02,Debt consolidation,702,15.1%,604xx,IL,10+ years,0
10000.00,2013-01-02,debt_consolidation,,-1%,631xx,MO,< 1 year,0
8000.00,2013-01-02,other,758,2.5%,400xx,KY,< 1 year,0
10000.00,2013-01-02,credit_card,639,14.74%,142xx,NY,< 1 year,0
6000.00,2013-01-02,home_improvement,680,33.75%,852xx,AZ,< 1 year,0
2175.00,2013-01-02,major_purchase,640,52.4%,922xx,AK,< 1 year,0
3500.00,2013-01-02,debt_consolidation,469,12.27%,271xx,NC,< 1 year,0
12500.00,2013-01-02,Debt Payoff,697,16.38%,900xx,CA,10+ years,0
12000.00,2013-01-02,debt_consolidation,656,32.37%,972xx,OR,< 1 year,0
10000.00,2013-01-02,debt_consolidation,636,13.26%,335xx,FL,< 1 year,0
2500.00,2013-01-02,Credit Card Refinance loan,695,23.23%,937xx,CA,7 years,0
5500.00,2013-01-02,debt_consolidation,645,14.3%,462xx,IN,< 1 year,0
25000.00,2013-01-02,debt_consolidation,659,17.49%,953xx,CA,< 1 year,0
